No,Model Name
1,RandomForestRegressor
2,MultiTaskLasso
3,MultiTaskElasticNet
4,MOP(LinearRegression)
5,MOP(SGDRegressor)
6,MOP(Ridge)
7,MOP(Lasso)
8,MOP(ElasticNet)
9,MOP(BayesianRidge)
10,MOP(PassiveAggressiveRegressor)
11,MOP(HuberRegressor)
12,MOP(ARDRegression)
13,MOP(LassoLars)
14,MOP(LassoLarsIC)
15,MOP(ElasticNetCV)
16,MOP(KNeighborsRegressor)
17,MOP(RadiusNeighborsRegressor)
18,MOP(LinearSVR)
19,MOP(NuSVR)
20,MOP(SVR)
21,MOP(DecisionTreeRegressor)
22,MOP(ExtraTreeRegressor)
23,MOP(PoissonRegressor)
24,MOP(RANSACRegressor)
25,MOP(Lars)
26,MOP(TheilSenRegressor)
27,MOP(LarsCV)
28,MOP(LassoLarsCV)
29,MOP(TweedieRegressor)
30,MOP(BaggingRegressor)
31,MOP(RandomForestRegressor)
32,MOP(GradientBoostingRegressor)
33,MOP(AdaBoostRegressor)
34,MOP(ExtraTreesRegressor)
35,MOP(HistGradientBoostingRegressor)
